IE_XML_ID;Цвет;дет_описание;пол;тг;блок;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг)
500124528;черный;;Женский;Туфли;Обувь;Всесезонная;221185;Черные женские туфли;натуральная кожа;натуральная кожа;98166;натуральная кожа;натуральная кожа;черный
500124529;бежевый;;Женский;Туфли;Обувь;Всесезонная;221185;Бежевые туфли замша;замша;замша;98166;натуральная кожа;натуральная кожа;бежевый
500124530;серый;;Женский;Туфли;Обувь;Всесезонная;221185;Серые женские туфли;замша;замша;98167;натуральная кожа;натуральная кожа;серый
500124531;синий;;Женский;Туфли;Обувь;Всесезонная;221185;Женские туфли на шпильке;замша;замша;98167;натуральная кожа;натуральная кожа;темно-синий
500124534;черный;;Женский;Туфли;Обувь;Всесезонная;221186;Черные женские туфли;замша;замша;98168;натуральная кожа;натуральная кожа;черный
500124535;бежевый;;Женский;Туфли;Обувь;Всесезонная;221186;Бежевые туфли замша;замша;замша;98168;натуральная кожа;натуральная кожа;бежевый
500124589;черный;;Женский;Босоножки;Обувь;Лето;221187;Черные женские замша;замша;замша;98169;натуральная кожа;натуральная кожа;черный
500124590;розовый;;Женский;Босоножки;Обувь;Лето;221187;Розовые женские босоножки;замша;замша;98169;натуральная кожа;натуральная кожа;розовый
500124591;черный;;Женский;Туфли;Обувь;Всесезонная;221188;Женские туфли замша;замша;замша;98170;экокожа;экокожа;черный
500124592;черный;;Женский;Туфли;Обувь;Всесезонная;221188;Кожаные женские туфли;натуральная кожа;натуральная кожа;98170;экокожа;экокожа;черный
500124593;черный;;Женский;Лоферы;Обувь;Всесезонная;221189;Черные женские лоферы;натуральная кожа;натуральная кожа;98171;натуральная кожа;натуральная кожа;черный
500124594;красный;;Женский;Лоферы;Обувь;Всесезонная;221189;Бордовые женские лоферы;натуральная кожа;натуральная кожа;98171;натуральная кожа;натуральная кожа;бордовый
500124643;черный;;Женский;Туфли;Обувь;Лето;221190;Черные женские туфли;натуральная кожа;натуральная кожа;98172;натуральная кожа;натуральная кожа;черный
500124644;красный;;Женский;Туфли;Обувь;Лето;221190;Красные женские туфли;натуральная кожа;натуральная кожа;98172;натуральная кожа;натуральная кожа;красный
500124645;синий;;Женский;Туфли;Обувь;Лето;221191;Синие лаковые туфли;лакированная кожа;лаковая кожа;98173;натуральная кожа;натуральная кожа;синий
500124646;красный;;Женский;Туфли;Обувь;Лето;221191;Красные лаковые туфли;лакированная кожа;лаковая кожа;98173;натуральная кожа;натуральная кожа;красный
500124647;черный;;Женский;Туфли;Обувь;Лето;221191;Черные лаковые туфли;лакированная кожа;лаковая кожа;98173;натуральная кожа;натуральная кожа;черный
500124651;фиолетовый;;Женский;Туфли;Обувь;Всесезонная;221193;Фиолетовые лаковые туфли;лакированная кожа;лаковая кожа;98174;натуральная кожа;натуральная кожа;фиолетовый
500124652;серый;;Женский;Туфли;Обувь;Всесезонная;221193;Серые лаковые туфли;лакированная кожа;лаковая кожа;98174;натуральная кожа;натуральная кожа;серый
500124656;красный;;Женский;Туфли;Обувь;Лето;221195;Красные женские туфли;натуральная кожа;натуральная кожа;98175;натуральная кожа;натуральная кожа;красный
500124657;зеленый;;Женский;Туфли;Обувь;Лето;221195;Зеленые женские туфли;натуральная кожа;натуральная кожа;98175;натуральная кожа;натуральная кожа;зеленый
500124658;серый;;Женский;Туфли;Обувь;Всесезонная;221195;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98176;натуральная кожа;натуральная кожа;белый / серый
500124659;черный;;Женский;Туфли;Обувь;Всесезонная;221195;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98176;натуральная кожа;натуральная кожа;черный / серый
500124661;черный;;Женский;Сабо;Обувь;Лето;221196;Сабо из натуральной кожи;натуральная кожа;натуральная кожа;98177;натуральная кожа;натуральная кожа;черный
500124662;черный;;Женский;Туфли;Обувь;Лето;221196;Черные женские туфли;натуральная кожа;натуральная кожа;98178;натуральная кожа;натуральная кожа;черный
500124663;красный;;Женский;Туфли;Обувь;Лето;221197;Красные женские туфли;натуральная кожа;натуральная кожа;98179;натуральная кожа;натуральная кожа;красный
500124664;черный;;Женский;Туфли;Обувь;Лето;221197;Кожаные женские туфли;натуральная кожа;натуральная кожа;98179;натуральная кожа;натуральная кожа;черный
500122949;коричневый;;Мужской;Полуботинки;Обувь;Всесезонная;221200;Коричневые мужские туфли;натуральная кожа;натуральная кожа;98180;натуральная кожа;натуральная кожа;коричневый
500122950;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221200;Черные мужские туфли;натуральная кожа;натуральная кожа;98180;натуральная кожа;натуральная кожа;черный
500122951;синий;;Мужской;Полуботинки;Обувь;Всесезонная;221201;Синие мужские туфли;натуральная кожа;натуральная кожа;98181;натуральная кожа;натуральная кожа;синий
500122952;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221201;Черные мужские туфли;натуральная кожа;натуральная кожа;98181;натуральная кожа;натуральная кожа;черный
500123903;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221201;Черные мужские туфли;натуральная кожа;натуральная кожа;98181;натуральная кожа;натуральная кожа;черный
500122953;коричневый;;Мужской;Полуботинки;Обувь;Всесезонная;221202;Коричневые мужские туфли;натуральная кожа;натуральная кожа;98182;натуральная кожа;натуральная кожа;коричневый
500122954;синий;;Мужской;Полуботинки;Обувь;Всесезонная;221202;Синие мужские туфли;натуральная кожа;натуральная кожа;98182;натуральная кожа;натуральная кожа;синий
500122955;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221202;Черные мужские туфли;натуральная кожа;натуральная кожа;98183;натуральная кожа;натуральная кожа;черный
500123904;синий;;Мужской;Полуботинки;Обувь;Лето;221202;Синие мужские туфли;натуральная кожа;натуральная кожа;98183;натуральная кожа;натуральная кожа;синий
500122956;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221203;Черные мужские туфли;натуральная кожа;натуральная кожа;98184;натуральная кожа;натуральная кожа;черный
500122957;синий;;Мужской;Полуботинки;Обувь;Всесезонная;221203;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98184;натуральная кожа;натуральная кожа;синий
500123905;коричневый;;Мужской;Полуботинки;Обувь;Лето;221203;Коричневые мужские полуботинки;натуральная кожа;натуральная кожа;98184;натуральная кожа;натуральная кожа;коричневый
500122958;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221204;Кожаные мужские туфли;натуральная кожа;натуральная кожа;98185;натуральная кожа;натуральная кожа;черный
500122959;синий;;Мужской;Полуботинки;Обувь;Всесезонная;221204;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98186;натуральная кожа;натуральная кожа;синий
500123906;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221204;Черные мужские туфли;натуральная кожа;натуральная кожа;98187;натуральная кожа;натуральная кожа;черный
500122960;серый;;Мужской;Полуботинки;Обувь;Всесезонная;221205;Серые мужские туфли;замша;замша;98188;натуральная кожа;натуральная кожа;серый
500123908;синий;;Мужской;Полуботинки;Обувь;Всесезонная;221205;Замшевые мужские туфли;замша;замша;98188;натуральная кожа;натуральная кожа;синий
500122961;синий;;Мужской;Полуботинки;Обувь;Всесезонная;221205;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98189;натуральная кожа;натуральная кожа;синий
500123907;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221205;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98189;натуральная кожа;натуральная кожа;черный
500122963;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221205;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98190;натуральная кожа;натуральная кожа;черный
500122964;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221206;Черные мужские туфли;натуральная кожа;натуральная кожа;98191;натуральная кожа;натуральная кожа;черный
500122966;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221206;Черные мужские туфли;натуральная кожа;натуральная кожа;98192;натуральная кожа;натуральная кожа;черный
500122967;коричневый;;Мужской;Полуботинки;Обувь;Всесезонная;221207;Рыжые мужские полуботинки;замша;замша;98193;натуральная кожа;натуральная кожа;рыжий
500122968;синий;;Мужской;Полуботинки;Обувь;Всесезонная;221207;Синие мужские полуботинки;замша;замша;98193;натуральная кожа;натуральная кожа;синий
500122969;серый;;Мужской;Полуботинки;Обувь;Всесезонная;221207;Мужские полуботинки из замши;замша;замша;98193;натуральная кожа;натуральная кожа;темно-серый
500122983;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221213;Черные мужские туфли;натуральная кожа;натуральная кожа;98194;натуральная кожа;натуральная кожа;черный
500122984;синий;;Мужской;Полуботинки;Обувь;Всесезонная;221213;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98194;натуральная кожа;натуральная кожа;синий
500122985;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221213;Черные мужские полуботинки;натуральная кожа;натуральная кожа;98194;натуральная кожа;натуральная кожа;черный
500122986;черный;;Мужской;Полуботинки;Обувь;Всесезонная;221213;Черные мужские туфли;натуральная кожа;натуральная кожа;98195;натуральная кожа;натуральная кожа;черный
500122987;синий;;Мужской;Полуботинки;Обувь;Всесезонная;221213;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98196;натуральная кожа;натуральная кожа;синий
500123909;черный;;Мужской;Полуботинки;Обувь;Лето;221215;Черные мужские туфли;натуральная кожа;натуральная кожа;98197;натуральная кожа;натуральная кожа;черный
