IE_XML_ID;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг);Цвет (фильтр)
500123064;Лето;221104;Серебряные женские туфли;натуральная кожа;натуральная кожа;98000;натуральная кожа;натуральная кожа;серебряный;серебряный
500123066;Лето;221104;Черные туфли на каблуке;натуральная кожа;натуральная кожа;98000;натуральная кожа;натуральная кожа;черный;черный
500123067;Лето;221104;Летние женские туфли;натуральная кожа;натуральная кожа;98001;натуральная кожа;натуральная кожа;синий / белый;синий
500123068;Лето;221104;Женские кожаные туфли;натуральная кожа;натуральная кожа;98001;натуральная кожа;натуральная кожа;светло-розовый / серый;розовый
500123069;Всесезонная;221104;Бежевые туфли на шпильке;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;бежевый;бежевый
500123821;Всесезонная;221104;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;черный;черный
500123071;Всесезонная;221104;Туфли на шпильке;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;розовый;розовый
500123588;Всесезонная;221104;Фиолетовые женские туфли;натуральная кожа;натуральная кожа;98002;натуральная кожа;натуральная кожа;фиолетовый;фиолетовый
500123072;Всесезонная;221105;Женские замшевые кроссовки;замша / кожа;замша;98003;натуральная кожа;натуральная кожа;темно-синий;синий
500123073;Всесезонная;221105;Женские кожаные кроссовки;натуральная кожа;натуральная кожа;98003;натуральная кожа;натуральная кожа;белый / серебрянный;серый
500123075;Всесезонная;221105;Бежевые женские кроссовки;замша;замша;98004;натуральная кожа;натуральная кожа;бежевый;бежевый
500123076;Всесезонная;221105;Женские кожаные кроссовки;натуральная кожа;натуральная кожа;98004;натуральная кожа;натуральная кожа;светло-золотой;желтый
500123078;Всесезонная;221105;Женские замшевые кроссовки;замша;замша;98004;натуральная кожа;натуральная кожа;светло-голубой;голубой
500123079;Всесезонная;221105;Женские кожаные кроссовки;натуральная кожа;натуральная кожа;98005;натуральная кожа;натуральная кожа;белый / серый / розовый;розовый
500123080;Всесезонная;221105;Женские кожаные кроссовки;замша / кожа;замша;98006;текстиль;текстиль;темно-бежевый;бежевый
500123083;Всесезонная;221106;Бежевые туфли на каблуке;натуральная кожа;натуральная кожа;98007;натуральная кожа;натуральная кожа;бежевый;бежевый
500123084;Всесезонная;221106;Красные женские туфли;натуральная кожа;натуральная кожа;98007;натуральная кожа;натуральная кожа;красный;красный
500123085;Всесезонная;221106;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98007;натуральная кожа;натуральная кожа;черный;черный
500123092;Лето;221107;Женские летние туфли;замша;замша;98008;натуральная кожа;натуральная кожа;светло-розовый;розовый
500123093;Лето;221107;Женские туфли на каблуке;замша;замша;98008;натуральная кожа;натуральная кожа;черный;черный
500123095;Всесезонная;221107;Бежевые туфли на шпильке;лакированная кожа;лаковая кожа;98009;натуральная кожа;натуральная кожа;бежевый;бежевый
500123096;Всесезонная;221107;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98009;натуральная кожа;натуральная кожа;черный;черный
500123098;Всесезонная;221107;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98010;натуральная кожа;натуральная кожа;черный;черный
500123822;Всесезонная;221107;Красные лаковые туфли;лакированная кожа;лаковая кожа;98010;натуральная кожа;натуральная кожа;красный;красный
500124532;Всесезонная;221107;Замшевые женские туфли;замша;замша;98011;натуральная кожа;натуральная кожа;черный;черный
500124533;Всесезонная;221107;Красные женские туфли;замша;замша;98011;натуральная кожа;натуральная кожа;красный;красный
500123113;Лето;221109;Босоножки на шпильке;замша;замша;98012;натуральная кожа;натуральная кожа;черный;черный
500123114;Лето;221109;Женские летние босоножки;замша;замша;98012;натуральная кожа;натуральная кожа;светло-розовый;розовый
500123117;Лето;221109;Розовые туфли на шпильке;лакированная кожа;лаковая кожа;98013;натуральная кожа;натуральная кожа;розовый;розовый
500123120;Лето;221109;Голубые женские туфли;натуральная кожа;натуральная кожа;98014;натуральная кожа;натуральная кожа;голубой;голубой
500123121;Лето;221109;Туфли на шпильке;натуральная кожа;натуральная кожа;98014;натуральная кожа;натуральная кожа;розовый;розовый
500123122;Лето;221109;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98014;натуральная кожа;натуральная кожа;черный;черный
500123123;Лето;221109;Бежевые туфли на шпильке;лакированная кожа;лаковая кожа;98014;натуральная кожа;натуральная кожа;бежевый;бежевый
500123127;Всесезонная;221110;Женские кожаные полуботинки;натуральная кожа;натуральная кожа;98015;натуральная кожа;натуральная кожа;светло-серый;серый
500123128;Всесезонная;221110;Женские кожаные полуботинки;натуральная кожа;натуральная кожа;98015;натуральная кожа;натуральная кожа;светло-бежевый;бежевый
500123131;Всесезонная;221110;Розовые женские полуботинки;натуральная кожа;натуральная кожа;98016;натуральная кожа;натуральная кожа;розовый;розовый
500123132;Всесезонная;221110;Женские кожаные полуботинки;натуральная кожа;натуральная кожа;98016;натуральная кожа;натуральная кожа;светло-голубой;голубой
500123133;Всесезонная;221110;Черные женские полуботинки;натуральная кожа;натуральная кожа;98016;натуральная кожа;натуральная кожа;черный;черный
500123137;Всесезонная;221111;Женские туфли;натуральная кожа;натуральная кожа;98017;натуральная кожа;натуральная кожа;фуксия;фуксия
500123138;Всесезонная;221111;Черные женские туфли;натуральная кожа;натуральная кожа;98017;натуральная кожа;натуральная кожа;черный;черный
500123139;Всесезонная;221111;Голубые женские туфли;замша;замша;98017;натуральная кожа;натуральная кожа;голубой;голубой
500123140;Всесезонная;221111;Серые женские туфли;замша;замша;98017;натуральная кожа;натуральная кожа;серый;серый
500123142;Лето;221111;Белые женские туфли;лакированная кожа;лаковая кожа;98018;натуральная кожа;натуральная кожа;белый;белый
500123143;Лето;221111;Кожаные женские туфли;натуральная кожа;натуральная кожа;98018;натуральная кожа;натуральная кожа;черный;черный
500123154;Лето;221113;Женские кожаные сандалии;натуральная кожа;натуральная кожа;98019;натуральная кожа;натуральная кожа;бордовый / черный;коричневый
500123156;Лето;221113;Женские кожаные сандалии;натуральная кожа;натуральная кожа;98019;натуральная кожа;натуральная кожа;серый / черный;разноцветный
500123157;Лето;221113;Бордовые женские сандалии;натуральная кожа;натуральная кожа;98020;натуральная кожа;натуральная кожа;бордовый;красный
500123158;Лето;221113;Черные женские сандалии;текстиль;текстиль;98020;натуральная кожа;натуральная кожа;черный;черный
500123823;Лето;221113;Белые женские сандалии;натуральная кожа;натуральная кожа;98021;натуральная кожа;натуральная кожа;белый;белый
500123824;Лето;221113;Серебряные женские сандалии;натуральная кожа;натуральная кожа;98021;натуральная кожа;натуральная кожа;серебряный;серый
500123159;Весна-осень;221114;Черные ботильоны на каблуке;лакированная кожа;лаковая кожа;98022;натуральная кожа;натуральная кожа;черный;черный
500123161;Весна-осень;221114;Молочные женские ботильоны;натуральная кожа;натуральная кожа;98023;натуральная кожа;натуральная кожа;молочный;молочный
500123825;Весна-осень;221114;Розовые женские ботильоны;замша;замша;98023;натуральная кожа;натуральная кожа;розовый;розовый
500123163;Весна-осень;221114;Черные ботильоны на каблуке;замша;замша;98023;натуральная кожа;натуральная кожа;черный;черный
500123164;Весна-осень;221114;Черные ботильоны на каблуке;натуральная кожа;натуральная кожа;98023;натуральная кожа;натуральная кожа;черный;черный
500123168;Всесезонная;221115;Серые женские туфли;замша;замша;98024;натуральная кожа;натуральная кожа;серый;серый
500123169;Всесезонная;221115;Бежевые туфли на каблуке;замша;замша;98024;натуральная кожа;натуральная кожа;бежевый;бежевый
500123170;Лето;221115;Красные женские туфли;замша;замша;98025;натуральная кожа;натуральная кожа;красный;красный
500123171;Лето;221115;Черные женские туфли;замша;замша;98025;натуральная кожа;натуральная кожа;черный;черный
500123174;Всесезонная;221115;Серые женские туфли;замша / кожа;замша;98026;натуральная кожа;натуральная кожа;серый;серый
500123175;Всесезонная;221115;Розовые женские туфли;замша / кожа;замша;98026;натуральная кожа;натуральная кожа;розовый;розовый
500123182;Лето;221116;Бежевые женские сабо;замша;замша;98027;натуральная кожа;натуральная кожа;бежевый;бежевый
500123183;Лето;221116;Женские замшевые сабо;замша;замша;98027;натуральная кожа;натуральная кожа;темно-синий;синий
500123184;Лето;221117;Розовые лаковые туфли;лакированная кожа;лаковая кожа;98028;натуральная кожа;натуральная кожа;розовый;розовый
500123185;Лето;221117;Женские лаковые туфли;лакированная кожа;лаковая кожа;98028;натуральная кожа;натуральная кожа;светло-зеленый;зеленый
500123826;Лето;221117;Сиреневые женские туфли;натуральная кожа;натуральная кожа;98028;натуральная кожа;натуральная кожа;сиреневый;розовый
500123186;Лето;221117;Женские босоножки на шпильке;натуральная кожа;натуральная кожа;98029;натуральная кожа;натуральная кожа;голубой / розовый;голубой
500123187;Лето;221117;Женские босоножки на шпильке;натуральная кожа;натуральная кожа;98029;натуральная кожа;натуральная кожа;темно-розовый;розовый
500123188;Лето;221117;Бежевые туфли на шпильке;натуральная кожа;натуральная кожа;98030;натуральная кожа;натуральная кожа;бежевый;бежевый
500123189;Лето;221117;Красные женские туфли;натуральная кожа;натуральная кожа;98030;натуральная кожа;натуральная кожа;красный;красный
500123191;Лето;221117;Кожаные женские туфли;натуральная кожа;натуральная кожа;98031;натуральная кожа;натуральная кожа;черный;черный
500123194;Лето;221118;Голубые женские сандалии;натуральная кожа;натуральная кожа;98032;натуральная кожа;натуральная кожа;голубой;голубой
500123195;Лето;221118;Женские замшевые сандалии;замша;замша;98033;натуральная кожа;натуральная кожа;темно-синий;синий
500123196;Лето;221118;Бежевые женские сандалии;замша;замша;98033;натуральная кожа;натуральная кожа;бежевый;бежевый
500123197;Лето;221118;Рыжые женские сандалии;замша;замша;98034;натуральная кожа;натуральная кожа;рыжий;коричневый
500123198;Лето;221118;Черные женские сандалии;замша;замша;98034;натуральная кожа;натуральная кожа;черный;черный
500123827;Лето;221118;Серые женские сандалии;замша;замша;98034;натуральная кожа;натуральная кожа;серый;серый
500123199;Лето;221118;Молочные женские сандалии;натуральная кожа;натуральная кожа;98035;натуральная кожа;натуральная кожа;молочный;молочный
500123200;Всесезонная;221119;Бежевые женские туфли;натуральная кожа;натуральная кожа;98036;натуральная кожа;натуральная кожа;бежевый;бежевый
500123828;Всесезонная;221119;Синие женские туфли;замша;замша;98036;натуральная кожа;натуральная кожа;синий;синий
500123202;Всесезонная;221119;Серые женские туфли;замша;замша;98037;натуральная кожа;натуральная кожа;серый;серый
500123203;Всесезонная;221119;Замшевые женские туфли;замша;замша;98037;натуральная кожа;натуральная кожа;черный;черный
500123204;Всесезонная;221119;Серебряные женские туфли;натуральная кожа;натуральная кожа;98038;натуральная кожа;натуральная кожа;серебряный;серебряный
500123205;Всесезонная;221119;Бежевые женские туфли;замша;замша;98038;натуральная кожа;натуральная кожа;бежевый;бежевый
500123207;Лето;221120;Женские летние туфли;кожа / текстиль;натуральная кожа;98039;натуральная кожа;натуральная кожа;черный / золотой;черный
500123210;Всесезонная;221120;Замшевые женские туфли;замша;замша;98040;натуральная кожа;натуральная кожа;черный;черный
500123211;Всесезонная;221120;Туфли на низком каблуке;замша;замша;98041;натуральная кожа;натуральная кожа;бежевый;бежевый
500123212;Всесезонная;221120;Туфли на низком каблуке;натуральная кожа;натуральная кожа;98041;натуральная кожа;натуральная кожа;черный;черный
500123213;Лето;221120;Женские кожаные туфли;натуральная кожа;натуральная кожа;98042;натуральная кожа;натуральная кожа;светло-розовый;розовый
500123214;Лето;221120;Красные лаковые туфли;лакированная кожа;лаковая кожа;98042;натуральная кожа;натуральная кожа;красный;красный
500123215;Лето;221120;Черные лаковые туфли;лакированная кожа;лаковая кожа;98042;натуральная кожа;натуральная кожа;черный;черный
500123216;Лето;221121;Рыжые женские босоножки;замша;замша;98043;натуральная кожа;натуральная кожа;рыжий;коричневый
500123217;Лето;221121;Замшевые женские босоножки;замша;замша;98043;натуральная кожа;натуральная кожа;черный;черный
500123219;Лето;221121;Кожаные женские туфли;натуральная кожа;натуральная кожа;98044;натуральная кожа;натуральная кожа;черный;черный
500123829;Лето;221121;Бежевые лаковые туфли;лакированная кожа;лаковая кожа;98044;натуральная кожа;натуральная кожа;бежевый;бежевый
500123221;Лето;221121;Бежевые женские туфли;натуральная кожа;натуральная кожа;98045;натуральная кожа;натуральная кожа;бежевый;бежевый
500123222;Лето;221121;Красные лаковые туфли;лакированная кожа;лаковая кожа;98045;натуральная кожа;натуральная кожа;красный;красный
500123224;Лето;221121;Женские кожаные босоножки;натуральная кожа;натуральная кожа;98046;натуральная кожа;натуральная кожа;светло-розовый;розовый
500123225;Лето;221121;Женские летние босоножки;натуральная кожа;натуральная кожа;98046;натуральная кожа;натуральная кожа;светло-серый;серый
500123229;Лето;221121;Красные женские босоножки;замша;замша;98047;натуральная кожа;натуральная кожа;красный;красный
500123230;Лето;221121;Рыжые женские босоножки;замша;замша;98047;натуральная кожа;натуральная кожа;рыжий;коричневый
500123235;Лето;221122;Женские босоножки на каблуке;натуральная кожа;натуральная кожа;98048;натуральная кожа;натуральная кожа;белый / красный;красный
500123236;Лето;221122;Бежевые женские босоножки;натуральная кожа;натуральная кожа;98049;натуральная кожа;натуральная кожа;бежевый;бежевый
500123237;Лето;221122;Женские кожаные босоножки;натуральная кожа;натуральная кожа;98049;натуральная кожа;натуральная кожа;белый / черный;разноцветный
500123238;Лето;221122;Синие женские босоножки;натуральная кожа;натуральная кожа;98050;натуральная кожа;натуральная кожа;синий;синий
500123239;Лето;221122;Рыжые женские босоножки;натуральная кожа;натуральная кожа;98050;натуральная кожа;натуральная кожа;рыжий;коричневый
500123241;Лето;221122;Босоножки на каблуке;натуральная кожа;натуральная кожа;98051;натуральная кожа;натуральная кожа;черный;черный
500123242;Лето;221124;Черные женские босоножки;замша;замша;98052;натуральная кожа;натуральная кожа;черный;черный
500123243;Лето;221124;Серые женские босоножки;замша;замша;98052;натуральная кожа;натуральная кожа;серый;серый
500123830;Лето;221124;Оранжевые женские босоножки;замша;замша;98052;натуральная кожа;натуральная кожа;оранжевый;оранжевый
500123244;Лето;221124;Черные женские босоножки;замша;замша;98053;натуральная кожа;натуральная кожа;черный;черный
500123250;Лето;221125;Черные женские босоножки;натуральная кожа;натуральная кожа;98054;натуральная кожа;натуральная кожа;черный;черный
500123251;Лето;221125;Красные женские босоножки;натуральная кожа;натуральная кожа;98054;натуральная кожа;натуральная кожа;красный;красный
500123252;Лето;221125;Женские босоножки на каблуке;натуральная кожа;натуральная кожа;98055;натуральная кожа;натуральная кожа;зеленый / белый;зеленый
500123256;Лето;221125;Черные женские босоножки;натуральная кожа;натуральная кожа;98056;натуральная кожа;натуральная кожа;черный;черный
500123257;Лето;221126;Черные ботильоны на каблуке;натуральная кожа;натуральная кожа;98057;натуральная кожа;натуральная кожа;черный;черный
500123263;Лето;221126;Черные женские сабо;натуральная кожа;натуральная кожа;98058;натуральная кожа;натуральная кожа;черный;черный
500123264;Лето;221126;Женские металлик сабо;натуральная кожа;натуральная кожа;98058;натуральная кожа;натуральная кожа;никель;серый
500123265;Лето;221126;Бежевые женские ботильоны;замша;замша;98059;натуральная кожа;натуральная кожа;бежевый;бежевый
500123831;Лето;221126;Черные замшевые ботильоны;замша;замша;98059;натуральная кожа;натуральная кожа;черный;черный
500123275;Всесезонная;221128;Розовые женские слиперы;замша;замша;98060;натуральная кожа;натуральная кожа;розовый;розовый
500123276;Всесезонная;221128;Черные женские слиперы;замша;замша;98060;натуральная кожа;натуральная кожа;черный;черный
500123279;Всесезонная;221128;Бежевые женские слиперы;замша;замша;98061;натуральная кожа;натуральная кожа;бежевый;бежевый
500123280;Всесезонная;221128;Женские замшевые слиперы;замша;замша;98061;натуральная кожа;натуральная кожа;темно-синий;синий
500123834;Всесезонная;221128;Голубые женские слиперы;замша;замша;98061;натуральная кожа;натуральная кожа;голубой;голубой
500123832;Всесезонная;221128;Бежевые женские слиперы;замша;замша;98062;натуральная кожа;натуральная кожа;бежевый;бежевый
500123833;Всесезонная;221128;Черные женские слиперы;замша;замша;98062;натуральная кожа;натуральная кожа;черный;черный
500123287;Лето;221129;Коралловые женские сабо;замша;замша;98063;натуральная кожа;натуральная кожа;коралловый;розовый
500123835;Лето;221129;Голубые женские сабо;замша;замша;98063;натуральная кожа;натуральная кожа;голубой;голубой
500123289;Лето;221129;Серые женские сабо;замша;замша;98063;натуральная кожа;натуральная кожа;серый;серый
500123294;Лето;221129;Женские кожаные сандалии;натуральная кожа;натуральная кожа;98064;натуральная кожа;натуральная кожа;светло-голубой;голубой
500123296;Лето;221129;Серые женские сандалии;натуральная кожа;натуральная кожа;98065;натуральная кожа;натуральная кожа;серый;серый
500123297;Лето;221130;Женские замшевые босоножки;замша;замша;98066;натуральная кожа;натуральная кожа;темно-синий;синий
500123298;Лето;221130;Рыжые женские босоножки;замша;замша;98066;натуральная кожа;натуральная кожа;рыжий;коричневый
500123302;Лето;221130;Женские летние сабо;натуральная кожа;натуральная кожа;98067;натуральная кожа;натуральная кожа;розово-золотой;розовый
500123303;Лето;221130;Сабо на платформе;натуральная кожа;натуральная кожа;98067;натуральная кожа;натуральная кожа;черный;черный
500123305;Всесезонная;221131;Черные женские лоферы;замша;замша;98068;натуральная кожа;натуральная кожа;черный;черный
500123306;Всесезонная;221131;Красные женские лоферы;замша;замша;98068;натуральная кожа;натуральная кожа;красный;красный
500123307;Всесезонная;221131;Серые женские лоферы;замша;замша;98068;натуральная кожа;натуральная кожа;серый;серый
500123836;Всесезонная;221131;Бежевые женские лоферы;замша;замша;98068;натуральная кожа;натуральная кожа;бежевый;бежевый
500123312;Лето;221132;Босоножки на танкетке;натуральная кожа;натуральная кожа;98069;натуральная кожа;натуральная кожа;черный;черный
500123313;Лето;221132;Серебряные женские босоножки;натуральная кожа;натуральная кожа;98069;натуральная кожа;натуральная кожа;серебряный;серебряный
500123314;Лето;221132;Белые женские босоножки;натуральная кожа;натуральная кожа;98069;натуральная кожа;натуральная кожа;белый;белый
500123320;Лето;221132;Синие женские босоножки;замша;замша;98070;натуральная кожа;натуральная кожа;синий;синий
500123321;Лето;221132;Молочные женские босоножки;натуральная кожа;натуральная кожа;98070;натуральная кожа;натуральная кожа;молочный;молочный
500123323;Лето;221133;Женские металлик туфли;натуральная кожа;натуральная кожа;98071;натуральная кожа;натуральная кожа;розово-золотой;розовый
500123324;Лето;221133;Черные лаковые туфли;лакированная кожа;лаковая кожа;98072;натуральная кожа;натуральная кожа;черный;черный
500123325;Лето;221133;Бежевые туфли на танкетке;натуральная кожа;натуральная кожа;98072;натуральная кожа;натуральная кожа;бежевый;бежевый
500123326;Лето;221133;Голубые женские босоножки;натуральная кожа;натуральная кожа;98073;натуральная кожа;натуральная кожа;голубой;голубой
500123327;Лето;221133;Женские кожаные босоножки;натуральная кожа;натуральная кожа;98073;натуральная кожа;натуральная кожа;светло-желтый;желтый
500123333;Всесезонная;221134;Женские металлик туфли;натуральная кожа;натуральная кожа;98074;натуральная кожа;натуральная кожа;никель;серый
500123341;Лето;221134;Замшевые женские туфли;замша;замша;98075;натуральная кожа;натуральная кожа;черный;черный
500123344;Лето;221134;Красные лаковые туфли;лакированная кожа;лаковая кожа;98076;натуральная кожа;натуральная кожа;красный;красный
500123345;Лето;221134;Женские лаковые туфли;лакированная кожа;лаковая кожа;98076;натуральная кожа;натуральная кожа;светло-серый;серый
500123346;Лето;221134;Женские туфли на шпильке;натуральная кожа;натуральная кожа;98076;натуральная кожа;натуральная кожа;черный;черный
500123837;Лето;221134;Кожаные женские туфли;натуральная кожа;натуральная кожа;98077;натуральная кожа;натуральная кожа;черный;черный
500123838;Лето;221134;Красные женские туфли;натуральная кожа;натуральная кожа;98077;натуральная кожа;натуральная кожа;красный;красный
500123349;Лето;221135;Женские розовые туфли;натуральная кожа;натуральная кожа;98078;натуральная кожа;натуральная кожа;светло-розовый;розовый
500123839;Лето;221135;Туфли на низком каблуке;натуральная кожа;натуральная кожа;98078;натуральная кожа;натуральная кожа;черный;черный
500123351;Всесезонная;221135;Кожаные женские туфли;натуральная кожа;натуральная кожа;98079;натуральная кожа;натуральная кожа;черный;черный
500123352;Всесезонная;221135;Красные женские туфли;натуральная кожа;натуральная кожа;98079;натуральная кожа;натуральная кожа;красный;красный
500123357;Всесезонная;221135;Черные женские туфли;замша;замша;98080;натуральная кожа;натуральная кожа;черный;черный
500123358;Всесезонная;221135;Бежевые женские туфли;замша;замша;98080;натуральная кожа;натуральная кожа;бежевый;бежевый
500123368;Лето;221137;Черные женские босоножки;замша;замша;98081;натуральная кожа;натуральная кожа;черный;черный
500123370;Лето;221137;Голубые женские босоножки;замша;замша;98082;натуральная кожа;натуральная кожа;голубой;голубой
500123840;Лето;221137;Женские босоножки на каблуке;натуральная кожа;натуральная кожа;98082;натуральная кожа;натуральная кожа;светло-коралловый;розовый
500123372;Лето;221137;Синие женские босоножки;замша;замша;98083;натуральная кожа;натуральная кожа;синий;синий
500123373;Лето;221137;Женские босоножки;замша;замша;98083;натуральная кожа;натуральная кожа;фуксия;фуксия
500123375;Лето;221138;Черные кожаные ботильоны;натуральная кожа;натуральная кожа;98084;натуральная кожа;натуральная кожа;черный;черный
500123376;Лето;221138;Серые женские ботильоны;замша;замша;98084;натуральная кожа;натуральная кожа;серый;серый
500123377;Лето;221138;Сабо на каблуке;натуральная кожа;натуральная кожа;98085;натуральная кожа;натуральная кожа;черный;черный
500123378;Лето;221138;Бежевые женские сабо;замша;замша;98085;натуральная кожа;натуральная кожа;бежевый;бежевый
500123380;Лето;221138;Сабо на каблуке;натуральная кожа;натуральная кожа;98086;натуральная кожа;натуральная кожа;черный;черный
500123842;Лето;221138;Синие женские сабо;натуральная кожа;натуральная кожа;98086;натуральная кожа;натуральная кожа;синий;синий
500123841;Лето;221138;Сабо на шпильке;замша;замша;98087;натуральная кожа;натуральная кожа;черный;черный
500123384;Лето;221139;Черные ботильоны на шпильке;замша;замша;98088;натуральная кожа;натуральная кожа;черный;черный
500123385;Лето;221139;Серые ботильоны на шпильке;замша;замша;98088;натуральная кожа;натуральная кожа;серый;серый
500123843;Лето;221139;Розовые замшевые ботильоны;замша;замша;98088;натуральная кожа;натуральная кожа;розовый;розовый
500123389;Всесезонная;221140;Серые женские туфли;замша;замша;98089;натуральная кожа;натуральная кожа;серый;серый
500123390;Всесезонная;221140;Молочные женские туфли;натуральная кожа;натуральная кожа;98089;натуральная кожа;натуральная кожа;молочный;молочный
500123392;Всесезонная;221140;Кожаные женские туфли;натуральная кожа;натуральная кожа;98089;натуральная кожа;натуральная кожа;черный;черный
500123844;Всесезонная;221140;Кожаные женские туфли;натуральная кожа;натуральная кожа;98089;натуральная кожа;натуральная кожа;розовый;розовый
500123393;Всесезонная;221140;Черные женские туфли;натуральная кожа;натуральная кожа;98090;натуральная кожа;натуральная кожа;черный;черный
500123394;Всесезонная;221140;Розовые замшевые туфли;замша;замша;98090;натуральная кожа;натуральная кожа;розовый;розовый
500123395;Весна-осень;221141;Черные женские ботильоны;замша;замша;98091;натуральная кожа;натуральная кожа;черный;черный
500123845;Весна-осень;221141;Розовые женские ботильоны;замша;замша;98091;натуральная кожа;натуральная кожа;розовый;розовый
500123397;Весна-осень;221141;Черные женские ботильоны;натуральная кожа;натуральная кожа;98092;натуральная кожа;натуральная кожа;черный;черный
500123398;Весна-осень;221141;Женские замшевые ботильоны;замша;замша;98092;натуральная кожа;натуральная кожа;темно-синий;синий
500123846;Весна-осень;221141;Серые женские ботильоны;замша;замша;98093;натуральная кожа;натуральная кожа;серый;серый
500123399;Лето;221142;Женские босоножки на каблуке;натуральная кожа;натуральная кожа;98094;натуральная кожа;натуральная кожа;темно-синий;синий
500123847;Лето;221142;Розовые женские босоножки;натуральная кожа;натуральная кожа;98094;натуральная кожа;натуральная кожа;розовый;розовый
500123401;Лето;221142;Женские босоножки на каблуке;натуральная кожа;натуральная кожа;98095;натуральная кожа;натуральная кожа;черный / серебряный;черный
500123402;Лето;221142;Бежевые босоножки на каблуке;натуральная кожа;натуральная кожа;98095;натуральная кожа;натуральная кожа;бежевый;бежевый
500123848;Лето;221142;Розовые женские босоножки;натуральная кожа;натуральная кожа;98095;натуральная кожа;натуральная кожа;розовый;розовый
500123405;Лето;221142;Босоножки на каблуке;текстиль / кожа;натуральная кожа;98096;натуральная кожа;натуральная кожа;черный;черный
500123408;Всесезонная;221143;Бежевые женские полуботинки;замша;замша;98097;натуральная кожа;натуральная кожа;бежевый;бежевый
500123410;Всесезонная;221143;Черные женские полуботинки;натуральная кожа;натуральная кожа;98097;натуральная кожа;натуральная кожа;черный;черный
500123411;Всесезонная;221143;Бежевые женские полуботинки;натуральная кожа;натуральная кожа;98098;натуральная кожа;натуральная кожа;бежевый;бежевый
500123412;Всесезонная;221143;Черные женские полуботинки;натуральная кожа;натуральная кожа;98098;натуральная кожа;натуральная кожа;черный;черный
