IE_XML_ID;сезонность;Группировка по колодке (сайт);Наименование маркетинг;Материал верха (маркетинг);Материал верха фильтр;Группировка по моделям (сайт) ;Материал подкладки (маркетинг);Материал подкладки фильтр;Цвет (маркетинг);Цвет (фильтр)
500124656;Лето;221195;Красные женские туфли;натуральная кожа;натуральная кожа;98175;натуральная кожа;натуральная кожа;красный;красный
500124657;Лето;221195;Зеленые женские туфли;натуральная кожа;натуральная кожа;98175;натуральная кожа;натуральная кожа;зеленый;зеленый
500124658;Всесезонная;221195;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98176;натуральная кожа;натуральная кожа;белый / серый;серый
500124659;Всесезонная;221195;Женские туфли на каблуке;натуральная кожа;натуральная кожа;98176;натуральная кожа;натуральная кожа;черный / серый;черный
500124661;Лето;221196;Сабо из натуральной кожи;натуральная кожа;натуральная кожа;98177;натуральная кожа;натуральная кожа;черный;черный
500124662;Лето;221196;Черные женские туфли;натуральная кожа;натуральная кожа;98178;натуральная кожа;натуральная кожа;черный;черный
500124663;Лето;221197;Красные женские туфли;натуральная кожа;натуральная кожа;98179;натуральная кожа;натуральная кожа;красный;красный
500124664;Лето;221197;Кожаные женские туфли;натуральная кожа;натуральная кожа;98179;натуральная кожа;натуральная кожа;черный;черный
500122949;Всесезонная;221200;Коричневые мужские туфли;натуральная кожа;натуральная кожа;98180;натуральная кожа;натуральная кожа;коричневый;коричневый
500122950;Всесезонная;221200;Черные мужские туфли;натуральная кожа;натуральная кожа;98180;натуральная кожа;натуральная кожа;черный;черный
500122951;Всесезонная;221201;Синие мужские туфли;натуральная кожа;натуральная кожа;98181;натуральная кожа;натуральная кожа;синий;синий
500122952;Всесезонная;221201;Черные мужские туфли;натуральная кожа;натуральная кожа;98181;натуральная кожа;натуральная кожа;черный;черный
500123903;Всесезонная;221201;Черные мужские туфли;натуральная кожа;натуральная кожа;98181;натуральная кожа;натуральная кожа;черный;черный
500122953;Всесезонная;221202;Коричневые мужские туфли;натуральная кожа;натуральная кожа;98182;натуральная кожа;натуральная кожа;коричневый;коричневый
500122954;Всесезонная;221202;Синие мужские туфли;натуральная кожа;натуральная кожа;98182;натуральная кожа;натуральная кожа;синий;синий
500122955;Всесезонная;221202;Черные мужские туфли;натуральная кожа;натуральная кожа;98183;натуральная кожа;натуральная кожа;черный;черный
500123904;Лето;221202;Синие мужские туфли;натуральная кожа;натуральная кожа;98183;натуральная кожа;натуральная кожа;синий;синий
500122956;Всесезонная;221203;Черные мужские туфли;натуральная кожа;натуральная кожа;98184;натуральная кожа;натуральная кожа;черный;черный
500122957;Всесезонная;221203;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98184;натуральная кожа;натуральная кожа;синий;синий
500123905;Лето;221203;Коричневые мужские полуботинки;натуральная кожа;натуральная кожа;98184;натуральная кожа;натуральная кожа;коричневый;коричневый
500122958;Всесезонная;221204;Кожаные мужские туфли;натуральная кожа;натуральная кожа;98185;натуральная кожа;натуральная кожа;черный;черный
500122959;Всесезонная;221204;Синие мужские полуботинки;натуральная кожа;натуральная кожа;98186;натуральная кожа;натуральная кожа;синий;синий
